Date,SPY,EFA,EEM,EMB,HYG,LQD
1993-11-24,26.330568,NA,NA,NA,NA,NA
1993-11-26,26.348278,NA,NA,NA,NA,NA
1993-11-29,26.242020,NA,NA,NA,NA,NA
1993-11-30,26.259745,NA,NA,NA,NA,NA
1993-12-01,26.295145,NA,NA,NA,NA,NA
1993-12-02,26.365984,NA,NA,NA,NA,NA
1993-12-03,26.472216,NA,NA,NA,NA,NA
1993-12-06,26.560772,NA,NA,NA,NA,NA
1993-12-07,26.543064,NA,NA,NA,NA,NA
1993-12-08,26.543064,NA,NA,NA,NA,NA
1993-12-09,26.454510,NA,NA,NA,NA,NA
1993-12-10,26.401390,NA,NA,NA,NA,NA
1993-12-13,26.560772,NA,NA,NA,NA,NA
1993-12-14,26.365984,NA,NA,NA,NA,NA
1993-12-15,26.330568,NA,NA,NA,NA,NA
1993-12-16,26.419081,NA,NA,NA,NA,NA
1993-12-17,26.564297,NA,NA,NA,NA,NA
1993-12-20,26.599957,NA,NA,NA,NA,NA
1993-12-21,26.510801,NA,NA,NA,NA,NA
1993-12-22,26.689079,NA,NA,NA,NA,NA
1993-12-23,26.671259,NA,NA,NA,NA,NA
1993-12-27,26.813883,NA,NA,NA,NA,NA
1993-12-28,26.867357,NA,NA,NA,NA,NA
1993-12-29,26.831718,NA,NA,NA,NA,NA
1993-12-30,26.724756,NA,NA,NA,NA,NA
1993-12-31,26.582108,NA,NA,NA,NA,NA
1994-01-03,26.510801,NA,NA,NA,NA,NA
1994-01-04,26.617775,NA,NA,NA,NA,NA
1994-01-05,26.671259,NA,NA,NA,NA,NA
1994-01-06,26.671259,NA,NA,NA,NA,NA
1994-01-07,26.831718,NA,NA,NA,NA,NA
1994-01-10,27.152639,NA,NA,NA,NA,NA
1994-01-11,27.099154,NA,NA,NA,NA,NA
1994-01-12,27.010004,NA,NA,NA,NA,NA
1994-01-13,26.938688,NA,NA,NA,NA,NA
1994-01-14,27.045652,NA,NA,NA,NA,NA
1994-01-17,27.045652,NA,NA,NA,NA,NA
1994-01-18,27.081314,NA,NA,NA,NA,NA
1994-01-19,27.010004,NA,NA,NA,NA,NA
1994-01-20,27.081314,NA,NA,NA,NA,NA
1994-01-21,27.027828,NA,NA,NA,NA,NA
1994-01-24,26.920864,NA,NA,NA,NA,NA
1994-01-25,26.920864,NA,NA,NA,NA,NA
1994-01-26,26.992188,NA,NA,NA,NA,NA
1994-01-27,27.241783,NA,NA,NA,NA,NA
1994-01-28,27.313086,NA,NA,NA,NA,NA
1994-01-31,27.509178,NA,NA,NA,NA,NA
1994-02-01,27.366573,NA,NA,NA,NA,NA
1994-02-02,27.544867,NA,NA,NA,NA,NA
1994-02-03,27.420052,NA,NA,NA,NA,NA
1994-02-04,26.796064,NA,NA,NA,NA,NA
1994-02-07,26.920864,NA,NA,NA,NA,NA
1994-02-08,26.938688,NA,NA,NA,NA,NA
1994-02-09,27.045652,NA,NA,NA,NA,NA
1994-02-10,26.813883,NA,NA,NA,NA,NA
1994-02-11,26.903040,NA,NA,NA,NA,NA
1994-02-14,26.938688,NA,NA,NA,NA,NA
1994-02-15,27.081314,NA,NA,NA,NA,NA
1994-02-16,27.063494,NA,NA,NA,NA,NA
1994-02-17,26.903040,NA,NA,NA,NA,NA
1994-02-18,26.742592,NA,NA,NA,NA,NA
1994-02-22,27.010004,NA,NA,NA,NA,NA
1994-02-23,26.938688,NA,NA,NA,NA,NA
1994-02-24,26.582108,NA,NA,NA,NA,NA
1994-02-25,26.706911,NA,NA,NA,NA,NA
1994-02-28,26.706911,NA,NA,NA,NA,NA
